,ele_1,ele_2,EMD,mend_1,mend_2,mend_diff
2153,S,Mg,0.22549019607843138,"(94.0, 'S')","(73.0, 'Mg')",21.0
2154,Mg,Cl,0.27450980392156865,"(73.0, 'Mg')","(99.0, 'Cl')",26.0
2155,Cl,Mg,0.27450980392156865,"(99.0, 'Cl')","(73.0, 'Mg')",26.0
2156,Mg,Ar,0.6862745098039216,"(73.0, 'Mg')","(3.0, 'Ar')",70.0
2157,Ar,Mg,0.6862745098039216,"(3.0, 'Ar')","(73.0, 'Mg')",70.0
2158,Mg,K,0.6176470588235294,"(73.0, 'Mg')","(10.0, 'K')",63.0
2159,K,Mg,0.6176470588235294,"(10.0, 'K')","(73.0, 'Mg')",63.0
2160,Mg,Ca,0.5588235294117647,"(73.0, 'Mg')","(16.0, 'Ca')",57.0
2161,Ca,Mg,0.5588235294117647,"(16.0, 'Ca')","(73.0, 'Mg')",57.0
2162,Mg,Sc,0.24509803921568626,"(73.0, 'Mg')","(19.0, 'Sc')",54.0
2163,Sc,Mg,0.24509803921568626,"(19.0, 'Sc')","(73.0, 'Mg')",54.0
2164,Mg,Ti,0.21568627450980393,"(73.0, 'Mg')","(51.0, 'Ti')",22.0
2165,Ti,Mg,0.21568627450980393,"(51.0, 'Ti')","(73.0, 'Mg')",22.0
2166,Mg,V,0.18627450980392157,"(73.0, 'Mg')","(54.0, 'V')",19.0
2167,V,Mg,0.18627450980392157,"(54.0, 'V')","(73.0, 'Mg')",19.0
2168,Mg,Cr,0.17647058823529413,"(73.0, 'Mg')","(57.0, 'Cr')",16.0
2169,Cr,Mg,0.17647058823529413,"(57.0, 'Cr')","(73.0, 'Mg')",16.0
2170,Mg,Mn,0.00980392156862745,"(73.0, 'Mg')","(60.0, 'Mn')",13.0
2171,Mn,Mg,0.00980392156862745,"(60.0, 'Mn')","(73.0, 'Mg')",13.0
2172,Mg,Fe,0.0196078431372549,"(73.0, 'Mg')","(61.0, 'Fe')",12.0
2173,Fe,Mg,0.0196078431372549,"(61.0, 'Fe')","(73.0, 'Mg')",12.0
2174,Mg,Co,0.029411764705882353,"(73.0, 'Mg')","(64.0, 'Co')",9.0
2175,Co,Mg,0.029411764705882353,"(64.0, 'Co')","(73.0, 'Mg')",9.0
2176,Mg,Ni,0.0392156862745098,"(73.0, 'Mg')","(67.0, 'Ni')",6.0
2177,Ni,Mg,0.0392156862745098,"(67.0, 'Ni')","(73.0, 'Mg')",6.0
2178,Mg,Cu,0.049019607843137254,"(73.0, 'Mg')","(72.0, 'Cu')",1.0
2179,Cu,Mg,0.049019607843137254,"(72.0, 'Cu')","(73.0, 'Mg')",1.0
2180,Mg,Zn,0.00980392156862745,"(73.0, 'Mg')","(76.0, 'Zn')",3.0
2181,Zn,Mg,0.00980392156862745,"(76.0, 'Zn')","(73.0, 'Mg')",3.0
2182,Mg,Ga,0.058823529411764705,"(73.0, 'Mg')","(81.0, 'Ga')",8.0
2183,Ga,Mg,0.058823529411764705,"(81.0, 'Ga')","(73.0, 'Mg')",8.0
2184,Mg,Ge,0.10784313725490197,"(73.0, 'Mg')","(84.0, 'Ge')",11.0
2185,Ge,Mg,0.10784313725490197,"(84.0, 'Ge')","(73.0, 'Mg')",11.0
2186,Mg,As,0.16666666666666666,"(73.0, 'Mg')","(89.0, 'As')",16.0
2187,As,Mg,0.16666666666666666,"(89.0, 'As')","(73.0, 'Mg')",16.0
2188,Mg,Se,0.21568627450980393,"(73.0, 'Mg')","(93.0, 'Se')",20.0
