,task_id,pretty_formula,spacegroup.symbol,spacegroup.crystal_system,e_above_hull,structure.lattice.volume,density,band_gap,final_energy,cat_oxi_state,an_oxi_state,coordination,coordination_num,coordination_env
667,mp-13450,HfSb,Cmcm,orthorhombic,0.001541674999999465,277.5785006203392,10.77699145212799,0.0,-91.012467,0.0,0.0,"[6.333333333333333, 'trigonal bipyramidal']",6.333333333333333,trigonal bipyramidal
668,mp-1042,HfSi,Pnma,orthorhombic,0.0,137.43512630923738,9.983668576273503,0.0,-68.07426864,4.0,-4.0,"[8, '7-coordinate']",8.0,7-coordinate
669,mp-21328,HfSn,P2_13,cubic,0.09368662249999993,182.09365435045112,10.84084368242121,0.0,-58.04339766,0.0,0.0,"[7, '7-coordinate']",7.0,7-coordinate
670,mp-11460,HfTc,Pm-3m,cubic,0.0,34.838137102796296,13.178731261361914,0.0,-21.28375347,0.0,0.0,"[8, 'body-centered cubic']",8.0,body-centered cubic
671,mp-23177,HgBr,I4/mmm,tetragonal,0.0,139.48106979354824,6.678630234716551,2.4641,-5.58147736,1.0,-1.0,"[1, 'single-bond']",1.0,single-bond
672,mp-22897,HgCl,I4/mmm,tetragonal,0.0,125.29991694380632,6.256326938720107,2.8204000000000002,-6.47764196,1.0,-1.0,"[1, 'single-bond']",1.0,single-bond
673,mp-706,HgF,I4/mmm,tetragonal,0.0,81.29940181376568,8.970179704918127,1.9778000000000002,-9.18474433,1.0,-1.0,"[1, 'single-bond']",1.0,single-bond
674,mp-22859,HgI,I4/mmm,tetragonal,0.0,159.06783815456168,6.8375526799081765,1.8859,-4.68362683,1.0,-1.0,"[1.5, 'linear']",1.5,linear
675,mp-1224,HgO,Pnma,orthorhombic,0.0,146.06670001551564,9.849066490124043,1.2481999999999998,-23.36299203,2.0,-2.0,"[2, 'linear']",2.0,linear
676,mp-556859,HgO,P2_1/m,monoclinic,0.0005145068749992099,291.2837185772689,9.877796448579687,1.2650000000000001,-46.71775195,2.0,-2.0,"[2, 'linear']",2.0,linear
677,mp-7826,HgO,P3_121,trigonal,0.0012865654166653862,109.44165337803429,9.858819261505401,1.3417,-17.51452463,2.0,-2.0,"[2, 'linear']",2.0,linear
678,mp-1077107,HgO,P3_221,trigonal,0.0019320837499989807,108.22107354600836,9.970012724699668,1.2835,-17.51065152,2.0,-2.0,"[2, 'linear']",2.0,linear
679,mp-2685,HgPd,P4/mmm,tetragonal,0.0,36.37834106370129,14.013890791341007,0.0,-5.82295781,0.0,0.0,"[8, 'cuboctahedral']",8.0,cuboctahedral
680,mp-8675,HgPd,P2_13,cubic,0.07522647375000036,150.8510058845772,13.518029816173401,0.0,-22.69001945,0.0,0.0,"[7, '7-coordinate']",7.0,7-coordinate
681,mp-623,HgPt,P4/mmm,tetragonal,0.11299566249999993,36.45728460278236,18.021971241043683,0.0,-6.26109174,2.0,-2.0,"[12, 'cuboctahedral']",12.0,cuboctahedral
682,mp-1123,HgS,F-43m,cubic,0.0,54.19907212806666,7.128031926948116,0.0,-4.69514689,2.0,-2.0,"[4, 'tetrahedral']",4.0,tetrahedral
683,mp-634,HgS,P3_121,trigonal,0.003823198333333444,166.3999846959231,6.96513375128853,1.7241,-14.06250148,2.0,-2.0,"[2, 'linear']",2.0,linear
684,mp-9252,HgS,P3_221,trigonal,0.0038863383333334056,165.68573061434714,6.9951597239062915,1.7037999999999998,-14.06212264,2.0,-2.0,"[2, 'linear']",2.0,linear
685,mp-10764,HgS,Fm-3m,cubic,0.17633877500000006,43.47101681656189,8.88713319428579,0.0,-4.34246934,2.0,-2.0,"[6, 'octahedral']",6.0,octahedral
686,mp-820,HgSe,F-43m,cubic,0.0,61.7493103707798,7.517552718899584,0.12360000000000004,-4.21106349,2.0,-2.0,"[4, 'tetrahedral']",4.0,tetrahedral
687,mp-1018722,HgSe,P3_221,trigonal,0.033349193333333194,178.93487664736983,7.782781726496694,1.0508000000000002,-12.43309531,2.0,-2.0,"[2, 'linear']",2.0,linear
688,mp-957,HgSe,Fm-3m,cubic,0.15143094499999998,49.011091823665105,9.471400835920335,0.0,-3.9082016,2.0,-2.0,"[6, 'octahedral']",6.0,octahedral
689,mp-2730,HgTe,F-43m,cubic,0.0,73.86531493784373,7.377919077797716,0.0,-3.77367216,2.0,-2.0,"[4, 'tetrahedral']",4.0,tetrahedral
690,mp-358,HgTe,P3_121,trigonal,0.05940174999999992,200.51549020171802,8.153569318548108,0.4918999999999998,-10.96460598,2.0,-2.0,"[4, 'see-saw-like']",4.0,see-saw-like
691,mp-1071269,HgTe,P3_221,trigonal,0.06175465833333327,199.5452440787284,8.193214307614985,0.29479999999999995,-10.95048853,2.0,-2.0,"[4, 'see-saw-like']",4.0,see-saw-like
692,mp-1811,HgTe,Fm-3m,cubic,0.14456226500000002,58.27228180488751,9.352170524095472,0.0,-3.48454763,2.0,-2.0,"[6, 'octahedral']",6.0,octahedral
693,mp-1507,HgTe,Cmcm,orthorhombic,0.16394181499999982,120.3099885841216,9.059469170947605,0.0,-6.89157706,2.0,-2.0,"[5, 'trigonal bipyramidal']",5.0,trigonal bipyramidal
694,mp-13141,HgTe,Pm-3m,cubic,0.4168809299999998,55.34201472504758,9.847352305025527,0.0,-2.9399103,2.0,-2.0,"[8, 'body-centered cubic']",8.0,body-centered cubic
695,mp-2778,HoAg,Pm-3m,cubic,0.0,47.75968431915607,9.484832369148831,0.0,-8.09604138,0.0,0.0,"[8, 'body-centered cubic']",8.0,body-centered cubic
696,mp-1188420,HoAl,Pbcm,orthorhombic,0.0,372.2046812648811,6.849503073763376,0.0,-73.24709911,0.0,0.0,"[9.5, '8-coordinate']",9.5,8-coordinate
697,mp-295,HoAs,Fm-3m,cubic,0.0,48.77219733011194,8.166199293077938,0.0,-12.2784552,3.0,-3.0,"[6, 'octahedral']",6.0,octahedral
698,mp-1001917,HoAs,Pm-3m,cubic,0.4960833950000003,45.15186297233297,8.820975639544885,0.0,-11.28628841,3.0,-3.0,"[8, 'body-centered cubic']",8.0,body-centered cubic
699,mp-1007666,HoAu,Cmcm,orthorhombic,0.0,94.82141828234178,12.675278078548107,0.0,-19.28037484,0.0,0.0,"[7, '7-coordinate']",7.0,7-coordinate
700,mp-11245,HoAu,Pm-3m,cubic,0.016315440000000514,46.31326014964116,12.975634199013733,0.0,-9.60755654,0.0,0.0,"[8, 'body-centered cubic']",8.0,body-centered cubic
